id,status,firmware,component,address_or_symbol,claim,evidence_file,confidence,next_dependency
E012,INFERENCE,EZB6,Device plan,OEM request path,No offline-authorized unlock procedure because native OEM/FRP request entry and EM token authorization remain unresolved,codex_context/DEVICE_UNLOCK_PLAN.md,HIGH,minimum low-risk device experiments specified
E013,VERIFIED,CXDF+EZB6,LinuxLoader,interactive unlock caller,CXDF interactive handler 0xCFAA0→0x25EE0 maps to EZB6 0xD4AE0→0x26020 (93.33%) and both are called by matching event loops,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,EZB6 has a retained legitimate interactive transition path
E014,VERIFIED,CXDF,Odin+LinuxLoader,OEM diagnostics,CXDF OEM/FRP diagnostic strings have no static pointer or PE relocation references and cannot identify live request code,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,strings are unreferenced retained data
E015,VERIFIED,CXDF+EZB6,LinuxLoader,native interactive request,EZB6 0x70508 calls LongPressVolUpkeyCheck(4000ms) then retained confirmation handler 0xD4AE0→0x26020; CXDF equivalents retained,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,bit 3/EM is not an input to interactive request
E016,VERIFIED,CXDF+EZB6,LinuxLoader,persistent unlock transition,Interactive 0x26020 path writes unlock value via retained VB device-write protocol then resets device state erases userdata and reboots,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,not a cosmetic in-memory state change
E017,VERIFIED,CXDF+EZB6,LinuxLoader,Download-Mode entry policy,CXDF dynamic entry-policy helper 0xC6ED0 is replaced by EZB6 0xCA790 which always returns zero; both EZB6 call sites branch around LongPressVolUpkeyCheck and confirmation on zero,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,HIGH,native long-press route is deliberately unreachable on EZB6
E018,VERIFIED,Local workspace,Firmware inventory,B9 comparison inputs,Only CXDF B5 and EZB6 B9 ABL inputs are present; no FZDP or other SM-S911B B9 BL/ABL/LinuxLoader/Odin component exists locally,codex_context/reports/B9_ENTRY_PATH_INVENTORY.md,HIGH,need unmodified FZDP or other verified B9 abl.elf/LinuxLoader
E019,VERIFIED,EZB6,Odin+LinuxLoader,EM-token service channel,Odin implements BL_EM_CMD_INSTALL_TOKEN/BLWriteToken and validates EM token issuer device validity expiry and mode; LinuxLoader has only two direct/tail 0x26020 callers, the second being BLInitToken→EM bit3 boot reconciliation,codex_context/reports/B9_ENTRY_PATH_INVENTORY.md,HIGH,token mode-to-consumer-unlock meaning and legitimate issuer workflow unknown
E020,VERIFIED,Physical device,Android policy,OEM/FRP read-only baseline,ro.oem_unlock_supported unset and oem_unlock_enabled null; FRP enforced but not active/no credential; persistent-data-block writable; no targeted device-policy restriction observed,CODEX_INBOX.md,HIGH,does not affect unconditional-false Download-Mode gate
E021,VERIFIED,FZDP B9,LinuxLoader,Download-Mode entry policy,FZDP 0xCABE0 is a 100%-normalized equivalent of EZB6 0xCA790 and unconditionally returns zero; both FZDP event-loop gates skip FZDP long-press 0x710D0 and confirmation 0xD74E0,codex_context/reports/FZDP_B9_ENTRY_COMPARISON.md,HIGH,hard-disable predates EZB6
E022,VERIFIED,FZDP B9,Odin+LinuxLoader,EM-token service channel,FZDP retains BL_EM_CMD_INSTALL_TOKEN BLWriteToken Process_EMTOKEN and issuer/device/validity/mode parsers with no identified consumer-unlock mode,codex_context/reports/FZDP_B9_ENTRY_COMPARISON.md,HIGH,authorized consumer workflow unknown
E009,UNKNOWN,EZB6,LinuxLoader,bitmap bit 3,Producer and semantic meaning unresolved,codex_context/reports/EZB6_STATE_SOURCE_RESOLUTION.md,,upstream trace
